CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210101,1.00,1,"MHA order dated 28 Dec 2020  https://web.archive.org/web/20210429132106/https://pib.gov.in/PressReleseDetail.aspx?PRID=1684156  ""The Ministry of Home Affairs (MHA) issued an Order today to extend the earlier Guidelines for Surveillance to remain in force upto 31.01.2021.    While there has been a continuous decline in the active and new COVID-19 cases, there is need to maintain surveillance, containment and caution, keeping in view the surge in cases globally, and emergence of a new variant of the virus in the United Kingdom (UK).     Accordingly, Containment Zones continue to be demarcated carefully; prescribed containment measures strictly followed within these zones; COVID-appropriate behaviour promoted and strictly enforced; and the Standard Operating Procedures (SOPs) prescribed in respect of various permitted activities followed scrupulously.    Therefore, the focused approach on surveillance, containment and strict observance of the guidelines/ SOPs issued by MHA and Ministry of Health & Family Welfare (MOHFW), as envisaged in the Guidelines issued on 25.11.2020; need to be enforced strictly by States and UTs.""",1.00,1,"This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",1.00,1,"This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",2.00,1,"Cap is 100. This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",1.00,1,"This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",0.00,,"No mention of specific requirements, however all offices, restaurants etc were allowed to stay open between 7:00 - 20:00 only.   This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",0.00,,"not clear.   https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",3.00,,,,,,,,,,,2.00,1,"Public health awareness posters and campaigns are coordinated by the UT administration. Example of poster attached.   https://web.archive.org/web/20211221091747/https://www.andaman.gov.in/admin-pannel/whatsnew/1-1041-posters.pdf",3.00,,2.00,,,,,,3.00,1,"All orders require this.   https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",2.00,1,"Data from the cowin dashboard shows that during this first few months of 2021, the focus was on key workers and clinically vulnerable groups.   https://web.archive.org/web/20210913122549/https://dashboard.cowin.gov.in/",3.00,1,"The order 262 mandates those at risk to stay at home unless they are moving around for emergencies or health purposes.   https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",,,,,,,,,,,,,,,,,4946,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210102,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4947,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210103,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4948,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210104,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4948,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210105,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4949,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210106,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4949,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210107,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4958,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210108,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4959,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210109,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4959,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210110,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4960,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210111,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4963,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210112,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4966,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210113,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4969,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210114,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4976,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210115,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,3.00,1,,,,,,,,,,,,,,,,,,4979,62,43.52,43.52,58.33,58.33,50.42,50.42,57.62,57.62,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210116,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,,,,,,,,,,,,,,,,,,,,4982,62,43.52,43.52,58.33,58.33,44.17,44.17,50.48,50.48,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210117,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,,,,,,,,,,,,,,,,,,,,4983,62,43.52,43.52,58.33,58.33,44.17,44.17,50.48,50.48,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210118,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,,,,,,,,,,,,,,,,,,,,4988,62,43.52,43.52,58.33,58.33,44.17,44.17,50.48,50.48,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210119,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,,,,,,,,,,,,,,,,,,,,4989,62,43.52,43.52,58.33,58.33,44.17,44.17,50.48,50.48,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210120,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,,,,,,,,,,,,,,,,,,,,4991,62,43.52,43.52,58.33,58.33,44.17,44.17,50.48,50.48,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210121,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,,,,,,,,,,,,,,,,,,,,4991,62,43.52,43.52,58.33,58.33,44.17,44.17,50.48,50.48,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210122,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,,,,,,,,,,,,,,,,,,,,4992,62,43.52,43.52,58.33,58.33,44.17,44.17,50.48,50.48,,
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210123,1.00,1,,1.00,1,,1.00,1,,2.00,1,,1.00,1,,0.00,,,0.00,,,3.00,,,,,,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,2.00,1,,,,,,,,,,,,,,,,,,,,,4993,62,43.52,43.52,58.33,58.33,44.17,44.17,50.48,50.48,,
