CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_Vaccinated,StringencyIndex_SimpleAverage,StringencyIndex_WeightedAverage,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_WeightedAverage,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_WeightedAverage,EconomicSupportIndex
United States,USA,,,NAT_TOTAL,20210101,3.00,0,,,,,3.00,0,"Extent of school closures is varied between states. Coded 3T due to presence of total closures in some states/territories.  ""As of Dec. 21, 10 states, the District of Columbia, and Puerto Rico have state-ordered full or partial closures in effect.""  Sources:   Countrywide overview, archived 1 January 2021.  http://web.archive.org/web/20210101062423/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07  Washington Post article, mentions continued closure of schools in Washington D.C, published 2 January 2021:  http://web.archive.org/web/20221001153615/https://www.washingtonpost.com/local/education/washington-dc-failed-school-reopening/2021/01/02/af6d6b56-2532-11eb-952e-0c475972cfc0_story.html",2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,"No coding change. Multiple states have required public events to be cancelled, and several city authorities have cancelled public New Years' eve celebrations in response to a surge in COVID-19 cases. Coded 2T as policies are varied across states; some permit public events subject to reduced capacity and social distancing requirements.   Examples of city authorities cancelling New Years' celebrations  http://web.archive.org/web/20221001113836/https://www.theguardian.com/world/2020/dec/30/new-years-eve-us-coronavirus-events-canceled  http://web.archive.org/web/20221001114035/https://abc7news.com/san-francisco-new-years-eve-sf-fireworks-cancelled-nye-closures-police/9229593/  State-by-state overview (updated 31 December 2020)  http://web.archive.org/web/20210103130614/https://www.aarp.org/politics-society/government-elections/info-2020/coronavirus-state-restrictions.html ",4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,"Have not found evidence of total shutdowns/the general public being prohibited from using public transit. However, as of 1 January 2021, public transportation services have not fully returned to normal, and the rising numbers of COVID-19 cases during the holiday season have prompted the CDC to strongly discourage travelling nationwide on all transportation types.     1.	Reduced services/closures of some routes.  2.	People being discouraged (though not prohibited) from travelling.  3.	Social distancing being employed.   4.	Mask wearing is required (with some authorities imposing fines), however note that mask-wearing is coded for in indicator H6.     Coded 1G due to reduced/closures of some services and the CDC warning against travel.    1.	US CDC bulletin strongly discouraging (but not prohibiting) travel on all transportation types due to rising COVID-19 cases and hospitalisations nationwide (archived 1 January 2021). If they need to, people are advised to travel on public transportation on non-peak hours, wear masks and maintain social distancing.     http://web.archive.org/web/20210101083459/https://www.cdc.gov/coronavirus/2019-ncov/travelers/travel-during-covid19.html     http://web.archive.org/web/20210101151113/https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/using-transportation.html     Other examples:    2.	New York City MTA: Pre-pandemic 24-hour services have not yet returned, as 1—5am subway services are still suspended to provide time for enhanced disinfection of trains/stations. The MTA has also told people to avoid travelling on its services during the holiday period. Passengers who refuse to mask may be fined.     http://web.archive.org/web/20210101200516/https://new.mta.info/coronavirus    http://web.archive.org/web/20210101200449/https://new.mta.info/holiday-2020     3.	Washington DC, King County bus services: Increased buses for busy routes to reduce crowding.     http://web.archive.org/web/20201231210925/https://kingcounty.gov/depts/transportation/metro.aspx ",2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,,70-74 yrs,70-74 yrs,0,1,1,2,5,,0,,20397398,352844,0.02,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210102,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,,70-74 yrs,70-74 yrs,0,1,1,2,5,,0,,20670022,355436,0.02,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210103,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,,70-74 yrs,70-74 yrs,0,1,1,2,5,,0,,20873235,356837,0.02,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210104,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,"Nightclubs, Casinos, theaters, indoor museums are still closed in some states such as Michigan and Illinois.  list of state restrictions - https://archive.vn/SC0Pg   Illinois - https://archive.vn/0PO7b   Michigan - https://archive.vn/4o01f  ",2.00,0,,,,,2.00,0,"No policy change as of 4 January 2021. Several states have maintained group size restrictions that prevent public events from going ahead, or have paused/banned specific events (i.e sporting events). Coded 2T as state by state policies are varied; some states have permitted larger events subject to social distancing and other health precautions being followed.    Examples:    ""Arizona:...Events with more than 50 people are prohibited, but local authorities can approve them if certain safety precautions are met.""    ""Connecticut: Gov. Ned Lamont (D) rolled the state back to Phase 2.1 (from Phase 3) of its reopening plan...High-risk team sports (other than collegiate or professional teams) are on pause until Jan. 19...Indoor performing arts centers can operate at 50 percent capacity, with a cap of 100 people, and parties must maintain a 6-foot distance between each other...At commercial venues, indoor gatherings are capped at 25 people and outdoor gatherings are capped at 50 people. Lamont authorized local health directors to impose a $10,000 fine per violation on businesses that hold events over gathering capacity limits.""    ""Indiana: Gov. Eric Holcomb (R) extended an order through Jan. 24, implementing a county-by-county approach to restrictions. Counties designated as red (with the highest risk of coronavirus spread) must limit social gatherings to 25 people.""    ""Minnesota: Gov. Tim Walz (D) signed an order modifying the rules on social gatherings and business activities. From Dec. 18 through Jan 10, no more than members from two households can gather indoors with a maximum of 10 people. Outdoors, no more than members from three households can gather with a maximum of 15 people. Gyms, fitness centers and outdoor entertainment venues, previously closed, can reopen at 25 percent capacity or 100 people (whichever is smaller). Group classes are prohibited until Jan. 4, and masks must be worn in gyms and fitness centers at all times. Nonprofessional and noncollegiate sports are on pause.""     State-by-state overview, updated on 4 January 2021:     http://web.archive.org/web/20210105142550/https://www.aarp.org/politics-society/government-elections/info-2020/coronavirus-state-restrictions.html",4.00,0,,,,,4.00,0,"Some states still limit gatherings to 10persons or less such as illinois  Sources:  https://archive.vn/Yoe5f  Illinois - https://archive.vn/0PO7b ",1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,"No Policy change.  California Regional Stay at home order is still in effect - https://archive.vn/FhQlj  Curfew still required by many states - https://archive.vn/Yoe5f",2.00,0,,,,,2.00,0,,3.00,,,3.00,"The United States has restricted the entry of all foreign nationals who have passed through or have been in China, Iran, Most European Countries, UK, Ireland and Brazil in the past 14 days.  Sources   CDC - https://archive.vn/b8vqe  Kayak - https://archive.vn/0mvef",2.00,0,,1.00,,0.00,,0.00,,2.00,1,"Coordinated public campaign by the CDC and the State Public Health Departments  https://archive.vn/phjCv ",3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,"Masks are still required at all times in some states such as Nevada. https://archive.vn/Yoe5f  ",1.00,1,"A:    the Vaccine by 4th January 2021. Doses distributed and people initiating vaccination (1st dose received) are for both Moderna and Pfizer BioNTech COVID-19 vaccine.   https://archive.vn/NYHlH",2.00,1,,,,,2.00,1,"CMS in collaboration with organizations, including state governments, in the United States and outlying territories developed a toolkit on State Actions to Mitigate COVID-19 Prevalence in Nursing Homes including recent information and guidance on vaccinations to prevent infection with influenza virus, pneumococcus, and SARS-CoV-2, the virus that causes COVID-19. This toolkit catalogs the many innovative solutions designed at the state level to protect our nation’s vulnerable nursing home residents during the Coronavirus disease 2019 (COVID-19) pandemic  http://web.archive.org/web/20210105004446/https://www.cms.gov/files/document/covid-toolkit-states-mitigate-covid-19-nursing-homes.pdf",,1,,1,,70-74 yrs,70-74 yrs,0,1,1,2,5,,0,,21059968,358853,0.03,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210105,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,,70-74 yrs,70-74 yrs,0,1,1,2,5,,0,,21292110,362429,0.06,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210106,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,,70-74 yrs,70-74 yrs,0,1,1,2,5,,0,,21551825,366299,0.11,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210107,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,"See latest travel restriction as reported by the New York Times. States like Hawaii, Maryland , Massachusetts etc require quarantine and /or negative covid test.    http://web.archive.org/web/20210112010621/https://www.nytimes.com/2020/07/10/travel/state-travel-restrictions.html   ",3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,"On Jan 7, 2021, Kansas began vaccinations for those 65yrs+ :    https://archive.fo/QWXtH ",65-69 yrs,65-69 yrs,0,1,1,2,5,"Government funded    On Jan 7, 2021, Kansas began vaccinations for those 65yrs+ :    https://archive.fo/QWXtH ",0,"No vaccine mandates at this time:     On Jan 7, 2021, Kansas began vaccinations for those 65yrs+ :    https://archive.fo/QWXtH ",21836888,370292,0.20,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210108,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,,65-69 yrs,65-69 yrs,0,1,1,2,5,,0,,22139748,374520,0.31,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210109,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,,65-69 yrs,65-69 yrs,0,1,1,2,5,,0,,22403252,377679,0.35,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
United States,USA,,,NAT_TOTAL,20210110,3.00,0,,,,,3.00,0,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,4.00,0,,,,,4.00,0,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,2.00,0,,1.00,,0.00,,0.00,,2.00,1,,3.00,,1.00,,0.00,,0.00,,4.00,0,,,,,4.00,0,,1.00,1,,2.00,1,,,,,2.00,1,,,1,,1,,65-69 yrs,65-69 yrs,0,1,1,2,5,,0,,22613198,379769,0.37,71.76,71.76,71.76,71.76,68.44,68.44,68.44,68.44,69.29,69.29,69.29,69.29,62.50
